Name,Map Index,Cost,Mortgage,Rent,1 house,2 houses,3 houses,4 houses,Hotel
Mediterranean Avenue,1,60,30,2,10,30,90,160,250
Baltic Avenue,3,60,30,4,20,60,180,320,450
Oriental Avenue,6,100,50,6,30,90,270,400,550
Vermont Avenue,8,100,50,6,30,90,270,400,550
Connecticut Avenue,9,120,60,8,40,100,300,450,600
St. Charles Place,11,140,70,10,50,150,450,625,750
States Avenue,13,140,70,10,50,150,450,625,750
Virginia Avenue,14,160,80,12,60,180,500,700,900
St. James Place,16,180,90,14,70,200,550,750,950
Tennessee Avenue,18,180,90,14,70,200,550,750,950
New York Avenue,19,200,100,16,80,220,600,800,1000
Kentucky Avenue,21,220,110,18,90,250,700,875,1050
Indiana Avenue,23,220,110,18,90,250,700,875,1050
Illinois Avenue,24,240,120,20,100,300,750,925,1100
Atlantic Avenue,26,260,130,22,110,330,800,975,1150
Ventnor Avenue,27,260,130,22,110,330,800,975,1150
Marvin Gardens,29,280,140,24,120,360,850,1025,1200
Pacific Avenue,31,300,150,26,130,390,900,1100,1275
North Carolina Avenue,32,300,150,26,130,390,900,1100,1275
Pennsylvania Avenue,34,320,160,28,150,450,1000,1200,1400
Park Place,37,350,175,35,175,500,1100,1300,1500
Boardwalk,39,400,200,50,200,600,1400,1700,2000
